Date,League,Home Team,Away Team,Predcition Score,Prediction Type,Confidence Level(%),Outcome,Source,,,,,,,,,,,,,,,,,,
,EPL,,,2,Away win,,3-3,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,2,Away win,,0-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,,Draw,,3-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,,Draw,,1-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,,Draw,,1-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,,Draw,,1-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,,Draw,,4-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,1,Home win,,2-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,1,Home win,,1-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,1,Home win,,2-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,1,Home win,,1-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,1,Home win,,2-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,1x,Home or draw,,3-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,2.5,over 2.5,,1-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,,,,4-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,GG&2.5,both teams to score and over 2.5,,1-3,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,GG&2.6,both teams to score and over 2.5,,1-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,u2.5,under 2.5,,1-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,1.5,over 1.5,,2-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,1.5,over 1.5,,1-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2.5,over 2.5,,1-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,1,Home win,,4-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,1,Home win,,5-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,1,Home win,,4-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,1,Home win,,0-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,1,Home win,,0-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,1,Home win,,3-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,1,Home win,,2-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,1,Home win,,1-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,1,Home win,,0-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,1,Home win,,1-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,1x,Home or draw,,1-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,,Home or draw,,0-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2x,Away or draw,,2-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2x,Away or draw,,1-4,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2x,Away or draw,,1-3,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,GG,Both teams to score,,4-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,GG,Both teams to score,,1-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,GG,Both teams to score,,1-6,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,GG,Both teams to score,,1-4,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,GG,Both teams to score,,1-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,GG,Both teams to score,,2-4,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,GG,Both teams to score,,1-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,GG,Both teams to score,,0-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,GG,Both teams to score,,2-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,1&u2.5,Home and under 2.5,,0-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2,Away win,,1-3,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2,Away win,,0-3,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2,Away win,,4-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2,Away win,,1-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2,Away win,,0-4,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,u2.5,under 2.5,,1-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,u2.5,under 2.5,,2-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,u2.5,under 2.5,,2-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,u2.5,under 2.5,,3-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2&GG,Away and both teams to score,,2-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,u2.5,under 2.5,,1-3,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,1&NG,Home and both teams not to score,,4-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,1&2.5,Home and over 2.5,,3-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,2&GG,Away and both teams to score,,1-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2.5,over 2.5,,3-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2.5,over 2.5,,2-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2.5,over 2.5,,2-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2.5,over 2.5,,2-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2.5,over 2.5,,0-6,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2.5,over 2.5,,0-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2.5,over 2.5,,2-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,u3.5,under 3.5,,5-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,u2.5,under 2.5,,5-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,GG,Both teams to score,,2-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,GG,Both teams to score,,1-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,GG,Both teams to score,,1-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,GG,Both teams to score,,0-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,GG,Both teams to score,,3-3,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,GG,Both teams to score,,1-4,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,GG,Both teams to score,,0-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2,Away win,,1-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2,Away win,,1-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2,Away win,,3-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2,Away win,,2-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2,Away win,,2-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1,Home win,,0-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1,Home win,,1-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1,Home win,,3-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1,Home win,,1-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1,Home win,,2-3,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1x,Home or draw,,2-3,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1DNB,Home DNB,,1-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1&2.5,Home and over 2.5,,1-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2x,Away or draw,,0-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,,Draw,,2-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,,Draw,,1-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,GG&2.5,both teams to score and over 2.5,,2-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,2&2.5,Away and over 2.5,,0-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,u2.5,under 2.5,,1-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,u2.5,under 2.5,,2-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,u2.5,under 2.5,,1-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,u2.5,under 2.5,,2-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,u2.5,under 2.5,,1-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,u2.5,under 2.5,,1-3,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,u2.5,under 2.5,,2-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,u2.5,under 2.5,,3-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,u2.5,under 2.5,,3-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2.5,over 2.5,,0-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2.5,over 2.5,,4-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2.5,over 2.5,,1-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2.5,over 2.5,,1-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,NG,Both not to score,,0-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2,Away win,,0-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2,Away win,,2-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2,Away win,,1-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2,Away win,,1-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2,Away win,,2-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2.5,over 2.5,,3-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,GG,Both teams to score,,1-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,1.5,over 1.5,,0-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,u3.5,under 3.5,,3-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,1x,Home or draw,,1-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,1,Home win,,5-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,1,Home win,,3-3,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,1,Home win,,5-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,1,Home win,,2-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2x,Away or draw,,1-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2x,Away or draw,,0-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,GG&2.5,both teams to score and over 2.5,,2-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,GG,Both teams to score,,0-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,GG,Both teams to score,,1-2,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,GG,Both teams to score,,1-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,GG,Both teams to score,,3-3,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,GG,Both teams to score,,0-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,GG,Both teams to score,,4-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,GG,Both teams to score,,1-1,sportytrader.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,GG,Both teams to score,,1-0,sportytrader.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-3,Away win,,0-5,soccersiite.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-3,Away win,,1-2,soccersiite.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-3,Away win,,0-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-3,Away win,,4-2,soccersiite.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-3,Away win,,1-3,soccersiite.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-3,Away win,,2-2,soccersiite.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-3,Away win,,0-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-3,Away win,,2-3,soccersiite.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-3,Away win,,0-2,soccersiite.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-0,Home win,,1-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-0,Home win,,3-0,soccersiite.com,,,,,,,,,,,,,,,,,,
,EPL,,,2-0,Home win,,1-0,soccersiite.com,,,,,,,,,,,,,,,,,,
,EPL,,,2-1,Home win,,1-3,soccersiite.com,,,,,,,,,,,,,,,,,,
,EPL,,,3-1,Home win,,4-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,EPL,,,3-1,Home win,,4-2,soccersiite.com,,,,,,,,,,,,,,,,,,
,EPL,,,3-1,Home win,,1-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,EPL,,,3-1,Home win,,1-2,soccersiite.com,,,,,,,,,,,,,,,,,,
,EPL,,,3-1,Home win,,4-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,EPL,,,3-1,Home win,,1-0,soccersiite.com,,,,,,,,,,,,,,,,,,
,EPL,,,3-1,Home win,,3-0,soccersiite.com,,,,,,,,,,,,,,,,,,
,EPL,,,3-1,Home win,,3-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,EPL,,,3-1,Home win,,3-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,0-0,Draw,,1-2,soccersiite.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,0-0,Draw,,3-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,0-1,Away win,,3-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,0-1,Away win,,2-2,soccersiite.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,0-1,Away win,,1-0,soccersiite.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,1-0,Home win,,0-0,soccersiite.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,1-0,Home win,,1-3,soccersiite.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,1-0,Home win,,1-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,1-0,Home win,,1-2,soccersiite.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,1-0,Home win,,3-2,soccersiite.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,1-0,Home win,,1-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,3-1,Home win,,3-3,soccersiite.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,3-1,Home win,,3-2,soccersiite.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,3-1,Home win,,4-0,soccersiite.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,3-1,Home win,,3-0,soccersiite.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,3-1,Home win,,5-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,3-1,Home win,,2-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,1-2,Home win,,1-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,1-3,Away win,,2-2,soccersiite.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,1-3,Away win,,0-0,soccersiite.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2-0,Home win,,1-0,soccersiite.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2-1,Home win,,1-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,LA LIGA,,,2-1,Home win,,1-0,soccersiite.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,0-2,Away win,,0-2,soccersiite.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1-0,Home win,,2-2,soccersiite.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1-2,Away win,,0-6,soccersiite.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1-3,Away win,,3-2,soccersiite.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1-3,Away win,,5-2,soccersiite.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1-3,Away win,,2-2,soccersiite.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1-3,Away win,,1-4,soccersiite.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,1-3,Away win,,2-3,soccersiite.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2-0,Home win,,1-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2-1,Home win,,3-3,soccersiite.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2-1,Home win,,1-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2-1,Home win,,2-2,soccersiite.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2-1,Home win,,2-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,2-1,Home win,,1-2,soccersiite.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,3-1,Home win,,2-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,3-1,Home win,,2-3,soccersiite.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,3-1,Home win,,1-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,Bundesliga,,,3-1,Home win,,2-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,Serie A,,,0-0,Draw,,1-2,soccersiite.com,,,,,,,,,,,,,,,,,,
,Serie A,,,0-0,Draw,,1-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,Serie A,,,0-0,Draw,,0-2,soccersiite.com,,,,,,,,,,,,,,,,,,
,Serie A,,,0-0,Draw,,2-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,Serie A,,,0-1,Away win,,0-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,Serie A,,,1-0,Home win,,2-0,soccersiite.com,,,,,,,,,,,,,,,,,,
,Serie A,,,1-0,Home win,,3-2,soccersiite.com,,,,,,,,,,,,,,,,,,
,Serie A,,,1-0,Home win,,0-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,Serie A,,,1-0,Home win,,1-2,soccersiite.com,,,,,,,,,,,,,,,,,,
,Serie A,,,1-2,Away win,,1-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,Serie A,,,1-3,Away win,,0-3,soccersiite.com,,,,,,,,,,,,,,,,,,
,Serie A,,,1-3,Away win,,1-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,Serie A,,,1-3,Away win,,1-6,soccersiite.com,,,,,,,,,,,,,,,,,,
,Serie A,,,1-2,Away win,,4-2,soccersiite.com,,,,,,,,,,,,,,,,,,
,Serie A,,,1-2,Away win,,2-3,soccersiite.com,,,,,,,,,,,,,,,,,,
,Serie A,,,1-2,Away win,,0-2,soccersiite.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2-0,Home win,,,soccersiite.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2-0,Home win,,2-0,soccersiite.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2-0,Home win,,3-2,soccersiite.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2-0,Home win,,4-0,soccersiite.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2-0,Home win,,1-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,Serie A,,,2-0,Home win,,4-0,soccersiite.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,0-0,Draw,,1-0,soccersiite.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,0-0,Draw,,0-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,0-0,Draw,,3-3,soccersiite.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,0-0,Draw,,0-4,soccersiite.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,0-0,Draw,,0-0,soccersiite.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,0-1,Away win,,2-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,0-1,Away win,,1-5,soccersiite.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,0-1,Away win,,0-2,soccersiite.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,0-1,Away win,,1-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,0-1,Away win,,3-3,soccersiite.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,1-0,Home win,,3-2,soccersiite.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,1-0,Home win,,1-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,1-0,Home win,,0-0,soccersiite.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,1-0,Home win,,0-0,soccersiite.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,1-2,Away win,,1-4,soccersiite.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,1-2,Away win,,1-3,soccersiite.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,2-1,Home win,,1-3,soccersiite.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,2-1,Home win,,0-0,soccersiite.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,2-1,Home win,,0-0,soccersiite.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,2-1,Home win,,5-0,soccersiite.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,2-0,Home win,,6-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,2-0,Home win,,0-2,soccersiite.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,2-0,Home win,,4-0,soccersiite.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,2-0,Home win,,3-2,soccersiite.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,3-1,Home win,,2-1,soccersiite.com,,,,,,,,,,,,,,,,,,
,Portugal Primera,,,3-1,Home win,,3-0,soccersiite.com,,,,,,,,,,,,,,,,,,
,EPL,,,0-0,Draw,,1-3,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,0-1,Away win,,2-2,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,0-1,Away win,,0-2,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,0-2,Away win,,0-6,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,0-2,Away win,,0-5,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,0-2,Away win,,0-1,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,0-2,Away win,,0-1,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,0-3,Away win,,1-3,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,0-4,Away win,,1-3,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-0,Home win,,,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-0,Home win,,1-3,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-0,Home win,,0-2,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-0,Home win,,1-0,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-1,Draw,,2-2,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-1,Draw,,3-0,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-1,Draw,,3-0,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,1-1,Draw,,4-2,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,2-0,Home win,,4-2,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,2-0,Home win,,1-1,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,2-1,Home win,,1-2,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,2-1,Home win,,1-2,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,2-1,Home win,,3-1,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,2-2,Draw,,1-3,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,2-2,Draw,,2-3,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,2-2,Draw,,1-3,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,2-2,Draw,,1-2,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,2-2,Draw,,1-2,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,2-2,Draw,,2-3,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,3-0,Home win,,4-1,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,3-0,Home win,,3-1,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,3-0,Home win,,2-0,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,3-0,Home win,,3-1,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,3-1,Home win,,2-1,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,3-2,Home win,,1-2,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,3-2,Home win,,1-1,preditz.com,,,,,,,,,,,,,,,,,,
,EPL,,,3-2,Home win,,4-1,preditz.com,,,,,,,,,,,,,,,,,,
,League One,,,0-1,Away win,,1-3,preditz.com,,,,,,,,,,,,,,,,,,
,League One,,,0-1,Away win,,0-2,preditz.com,,,,,,,,,,,,,,,,,,
,League One,,,1-1,Away win,,0-0,preditz.com,,,,,,,,,,,,,,,,,,
,League One,,,1-1,Away win,,0-0,preditz.com,,,,,,,,,,,,,,,,,,
,League One,,,1-1,Away win,,1-1,preditz.com,,,,,,,,,,,,,,,,,,
,League One,,,1-1,Away win,,1-1,preditz.com,,,,,,,,,,,,,,,,,,
,League One,,,1-1,Away win,,2-1,preditz.com,,,,,,,,,,,,,,,,,,
,League One,,,2-0,Home win,,2-1,preditz.com,,,,,,,,,,,,,,,,,,
,League One,,,,Home win,,2-1,preditz.com,,,,,,,,,,,,,,,,,,
,League One,,,2-2,Draw,,1-1,preditz.com,,,,,,,,,,,,,,,,,,
,League One,,,2-2,Draw,,2-2,preditz.com,,,,,,,,,,,,,,,,,,
